symbols,Company,TradingView_Sector,TradingView_Industry,Sector_SPDR,TAGS,Exchange
WMT,Walmart Inc,Retail Trade,Food Retail,XLP - Consumer Staples,,NYSE
WPM,Wheaton Precious Metals Corp,Non-energy Minerals,Precious Metals,XLB - Materials,,NYSE
WRB,W R Berkley Corporation,Finance,Property/Casualty Insurance,XLF - Financial,,NYSE
WSM,Williams-Sonoma Inc,Retail Trade,Specialty Stores,XLY - Consumer Discretionary,,NYSE
WSO,Watsco Inc,Distribution Services,Wholesale Distributors,XLI - Industrials,,NYSE
WST,West Pharmaceutical Services Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
WTW,Willis Towers Watson Public Limited Company,Finance,Insurance Brokers/Services,XLF - Financial,,NASDAQ
WY,Weyerhaeuser Company,Finance,Real Estate Investment Trusts,XLRE - Real State,,NYSE
WYNN,Wynn Resorts Limited,Consumer Services,Casinos/Gaming,XLY - Consumer Discretionary,,NASDAQ
XEL,Xcel Energy Inc,Utilities,Electric Utilities,XLU - Utilities,,NASDAQ
XOM,Exxon Mobil Corporation,Energy Minerals,Integrated Oil,XLE - Energy,,NYSE
XPEV,XPeng Inc,Consumer Durables,Motor Vehicles,XLY - Consumer Discretionary,,NYSE
XYL,Xylem Inc,Producer Manufacturing,Industrial Machinery,XLI - Industrials,,NYSE
XYZ,Block Inc,Technology Services,Data Processing Services,XLF - Financial,,NYSE
YORW,York Water Company,Utilities,Water Utilities,XLU - Utilities,,NASDAQ
YUM,Yum Brands Inc,Consumer Services,Restaurants,XLY - Consumer Discretionary,,NYSE
ZBH,Zimmer Biomet Holdings Inc,Health Technology,Medical Specialties,XLV - Health Care,,NYSE
ZBRA,Zebra Technologies Corporation,Electronic Technology,Electronic Equipment/Instruments,XLK - Technology,,NASDAQ
ZM,Zoom Video Communications Inc,Technology Services,Internet Software/Services,XLK - Technology,,NASDAQ
ZS,Zscaler Inc,Technology Services,Packaged Software,XLK - Technology,,NASDAQ
ZTS,Zoetis Inc,Health Technology,Pharmaceuticals: Major,XLV - Health Care,,NYSE
